x, y, theta, stamp, 
0.4508744776248932, 0.25002285838127136, 0.6820750242684251, 1740704673377067731, 
0.46257808804512024, 0.2596006691455841, 0.6848976172448722, 1740704673427092605, 
0.4953595697879791, 0.28722310066223145, 0.7033391409238178, 1740704673567048101, 
0.5190015435218811, 0.3071213662624359, 0.7018549442555989, 1740704673667459677, 
0.5445364713668823, 0.32807445526123047, 0.6908137622532672, 1740704673777110743, 
0.5670040845870972, 0.3465306758880615, 0.6869829091816121, 1740704673873108160, 
0.5891841650009155, 0.36549437046051025, 0.7026403342430819, 1740704673967049701, 
0.6121954321861267, 0.3859288990497589, 0.7261002006893201, 1740704674067553620, 
0.6370685696601868, 0.40849655866622925, 0.7393688192602641, 1740704674177121878, 
0.6583603620529175, 0.42829403281211853, 0.7478760879546739, 1740704674273073877, 
0.6793724894523621, 0.44824641942977905, 0.7576911770915337, 1740704674367033187, 
0.7019622921943665, 0.46893370151519775, 0.7425056613247788, 1740704674467377518, 
0.7268822193145752, 0.4907616376876831, 0.7196145998667649, 1740704674576852864, 
0.7489853501319885, 0.5097338557243347, 0.7164557601967737, 1740704674673115631, 
0.7707468271255493, 0.5281279683113098, 0.7105663538201616, 1740704674767034412, 
0.7944143414497375, 0.5480047464370728, 0.7005135007610747, 1740704674867438768, 
0.8202443718910217, 0.5695037245750427, 0.6932579488377162, 1740704674977126488, 
0.8432836532592773, 0.5879350304603577, 0.680379025385205, 1740704675073088979, 
0.8656817674636841, 0.6049087047576904, 0.6387233684178505, 1740704675167036580, 
0.8904070854187012, 0.6220515966415405, 0.6044062255833509, 1740704675266867433, 
0.9183704853057861, 0.640904426574707, 0.5945645585180244, 1740704675377162323, 
0.9424241781234741, 0.6568520069122314, 0.5855932080890038, 1740704675473114898, 
0.9665091037750244, 0.6721746921539307, 0.5772531875072512, 1740704675567059883, 
0.9794140458106995, 0.6806755065917969, 0.5716360210730546, 1740704675617152251, 
1.021269679069519, 0.7067434191703796, 0.5545171419402385, 1740704675777139319, 
1.0462498664855957, 0.721011757850647, 0.5215022331296796, 1740704675873113244, 
1.0711216926574707, 0.7346252799034119, 0.49907607134851384, 1740704675967048378, 
1.1010468006134033, 0.7506152987480164, 0.4928017408994793, 1740704676077531573, 
1.1279643774032593, 0.7648206353187561, 0.4826002283442729, 1740704676177304287, 
1.154129981994629, 0.7778635025024414, 0.47190007586028954, 1740704676273118438, 
1.1801451444625854, 0.7907276749610901, 0.46039729158187503, 1740704676367062151, 
1.210313081741333, 0.8046749830245972, 0.42370857310042764, 1740704676476741128, 
1.238097906112671, 0.8160649538040161, 0.40256472345119265, 1740704676577198142, 
1.2650699615478516, 0.827276349067688, 0.3989761336284428, 1740704676673142865, 
1.2914674282073975, 0.8385431170463562, 0.38774672555602196, 1740704676767057462, 
1.3200633525848389, 0.8491809964179993, 0.3699333987419779, 1740704676867609386, 
1.35150945186615, 0.8606939911842346, 0.34884887478245286, 1740704676977296915, 
1.3791553974151611, 0.8696337938308716, 0.31583636303231866, 1740704677073133913, 
1.4056276082992554, 0.8773782253265381, 0.28788628029531466, 1740704677167059810, 
1.4353066682815552, 0.8857840895652771, 0.28013241865039734, 1740704677266718552, 
1.466791033744812, 0.8943052887916565, 0.26908971756257527, 1740704677377102711, 
1.4931776523590088, 0.9008442163467407, 0.25186560047129114, 1740704677473133506, 
1.5183334350585938, 0.9068908095359802, 0.2345056565075513, 1740704677567065079, 
1.5447700023651123, 0.9123063087463379, 0.21412014399339296, 1740704677666654380, 
1.5724481344223022, 0.9175699353218079, 0.1962811805141193, 1740704677777184778, 
1.595713496208191, 0.9222550392150879, 0.19770230996355004, 1740704677873132859, 
1.617665410041809, 0.9265168309211731, 0.19425415771967475, 1740704677967072704, 
1.6402822732925415, 0.9305441975593567, 0.18082296173736326, 1740704678067172006, 
1.6643049716949463, 0.9345288276672363, 0.17195856387530747, 1740704678177144055, 
1.6848970651626587, 0.9378457069396973, 0.1620990938456231, 1740704678273141346, 
1.704438328742981, 0.9407768845558167, 0.15282424942438755, 1740704678367075036, 
1.7269903421401978, 0.9438982009887695, 0.14709658188557043, 1740704678477296266, 
1.747497320175171, 0.9464903473854065, 0.13750994732733546, 1740704678577296921, 
1.7574301958084106, 0.9477775692939758, 0.13214556014819992, 1740704678627134895, 
1.784271240234375, 0.9508500695228577, 0.11807477448343057, 1740704678767081534, 
1.803297758102417, 0.952756404876709, 0.11253023383567683, 1740704678866804828, 
1.8241595029830933, 0.9549689292907715, 0.10621297460567872, 1740704678977245909, 
1.841294527053833, 0.9564252495765686, 0.09862564720505075, 1740704679073135260, 
1.8576594591140747, 0.9577373266220093, 0.09156863820985207, 1740704679167086667, 
1.8744858503341675, 0.9591989517211914, 0.08791253924822814, 1740704679266853797, 
1.8921235799789429, 0.9607962369918823, 0.08170968250268942, 1740704679377364616, 
1.9075626134872437, 0.9619162678718567, 0.08274298648908378, 1740704679473176247, 
1.9230550527572632, 0.9631108641624451, 0.08122900270396505, 1740704679567114798, 
1.9401297569274902, 0.964402437210083, 0.08089691961167368, 1740704679676952392, 
1.954685926437378, 0.9653587937355042, 0.0780463062649118, 1740704679777182247, 
1.9688531160354614, 0.9666120409965515, 0.07460296040837296, 1740704679873162364, 
1.9826066493988037, 0.9673207402229309, 0.07398734122103252, 1740704679967094946, 
1.996416449546814, 0.9682490825653076, 0.06926974047432619, 1740704680066663098, 
2.0112733840942383, 0.9690728187561035, 0.0673032754468593, 1740704680177213276, 
2.023277521133423, 0.9695958495140076, 0.06338996028706917, 1740704680273173023, 
2.0347256660461426, 0.9699392914772034, 0.058504573103062917, 1740704680367099785, 
2.0483808517456055, 0.9705520868301392, 0.05382713840838785, 1740704680476854721, 
2.052886962890625, 0.9706265330314636, 0.05298674487275619, 1740704680513429371, 
2.0710394382476807, 0.9715093970298767, 0.04709653664492873, 1740704680673154741, 
2.0809316635131836, 0.9717581272125244, 0.04654412519586144, 1740704680767102202, 
2.0935959815979004, 0.9721685647964478, 0.04479226642902728, 1740704680877265981, 
2.104644775390625, 0.9725084900856018, 0.04160707017148648, 1740704680977224309, 
2.114764451980591, 0.9729484915733337, 0.03946609440199016, 1740704681073177220, 
2.1247482299804688, 0.9731992483139038, 0.039791759475492045, 1740704681167105635, 
